timestamp,traffic_density,vehicle_count,pedestrian_count,temperature,humidity,fog,rain,ambient_light,pir_motion,brightness
2025-01-01 00:00:00,0.3745401188473625,46,21,12.839439795219878,86.81403107344633,0,0,74.33528955700123,0,0.4721780831931537
2025-01-01 00:05:00,0.9507143064099162,11,11,16.95882823164333,43.20031733043105,0,0,72.3330303993963,0,0.7755000144869413
2025-01-01 00:10:00,0.7319939418114051,15,25,19.007019578108252,81.23716186735038,1,0,13.605623443164294,0,0.9623957592679835
2025-01-01 00:15:00,0.5986584841970366,23,3,24.976526739266127,54.61915552060965,0,0,83.60789007952809,0,0.44906093893792565
2025-01-01 00:20:00,0.15601864044243652,18,4,23.02295169763348,62.195972725318896,0,0,15.478603484611197,1,0.24921304830970556
2025-01-01 00:25:00,0.15599452033620265,7,12,22.418571349568623,41.09566643875045,0,0,30.11755869973588,0,0.22919616423534184
2025-01-01 00:30:00,0.05808361216819946,30,28,17.047498932193086,55.05230389171565,0,0,24.8976899161365,0,0.3206585285177396
2025-01-01 00:35:00,0.8661761457749352,20,14,26.8289510616952,65.13156213150653,0,0,37.23070985730478,0,0.7463233020424546
2025-01-01 00:40:00,0.6011150117432088,16,24,19.42574334796329,42.80880386737195,0,0,25.466376588996187,1,0.7607805082202461
2025-01-01 00:45:00,0.7080725777960455,22,22,29.58209876030309,64.55478646915826,0,1,48.8950926438452,0,0.9156508044572318
2025-01-01 00:50:00,0.020584494295802447,36,15,22.682842765914735,86.35553144292138,0,0,40.74078813546854,1,0.2644091460070617
2025-01-01 00:55:00,0.9699098521619943,15,9,12.525294831290054,45.26966090539026,0,0,98.65694907793265,0,0.7689368965133959
2025-01-01 01:00:00,0.8324426408004217,5,29,23.52355124150868,78.22203640377522,0,0,5.592635012822567,0,0.8727098485602951
2025-01-01 01:05:00,0.21233911067827616,7,29,16.50208030863398,60.48355266879963,0,0,14.218137638735161,0,0.43863737747479326
2025-01-01 01:10:00,0.18182496720710062,24,24,23.72654393372195,72.7586857262169,0,0,5.282589390860249,0,0.3672774770449704
2025-01-01 01:15:00,0.18340450985343382,17,22,11.392822963248115,53.01182989926147,1,0,62.58411949823758,1,0.6483831568974037
2025-01-01 01:20:00,0.3042422429595377,24,15,13.497628743519188,47.97461312706791,0,0,5.450927741371958,0,0.3629695700716764
2025-01-01 01:25:00,0.5247564316322378,11,11,27.114745178115726,48.02313071356132,0,0,83.64397373761233,1,0.5773295021425665
2025-01-01 01:30:00,0.43194501864211576,14,16,14.543591140470298,43.52459728215723,0,0,51.19386306819278,0,0.46236151304948103
2025-01-01 01:35:00,0.2912291401980419,25,15,26.7408225048588,49.28233524506215,1,1,52.70076245815337,0,0.5538603981386294
2025-01-01 01:40:00,0.6118528947223795,40,11,15.585521769088208,73.21096924944841,0,1,56.15945077121942,1,0.8382970263056656
2025-01-01 01:45:00,0.13949386065204183,44,7,22.857638201174154,84.08453059217541,0,0,17.081370630621073,1,0.26764570245642927
2025-01-01 01:50:00,0.29214464853521815,25,19,23.88301147019662,80.70628427955809,0,0,19.769030311448756,0,0.3945012539746527
2025-01-01 01:55:00,0.3663618432936917,46,2,20.25309506290106,74.25671549372422,0,1,31.88173228730047,0,0.4764532903055842
2025-01-01 02:00:00,0.45606998421703593,31,15,16.106213533934625,45.521593170555136,0,0,59.34964158218514,0,0.46924898895192513
2025-01-01 02:05:00,0.7851759613930136,9,29,14.252887527421922,54.45937231479749,0,1,21.011777594021453,0,1.0
2025-01-01 02:10:00,0.19967378215835974,15,12,10.663787091248524,55.490343766123445,0,0,11.633172713326124,1,0.3597716475108518
2025-01-01 02:15:00,0.5142344384136116,6,22,16.078928024814477,52.49784731988106,0,1,97.01168864184322,1,0.8799641068895282
2025-01-01 02:20:00,0.5924145688620425,16,27,23.063255810625662,65.75028298548615,0,0,2.1981814809622913,0,0.6846901982034297
2025-01-01 02:25:00,0.046450412719997725,22,18,28.766096368969652,66.77769074398363,0,1,80.26974053360216,1,0.5125152889039984
2025-01-01 02:30:00,0.6075448519014384,25,7,27.42408964526104,57.84429875855551,0,0,78.8035149575022,0,0.4952813963310068
2025-01-01 02:35:00,0.17052412368729153,20,21,25.321295530706053,57.689457936821796,0,0,29.7214113845096,0,0.329366886581104
2025-01-01 02:40:00,0.06505159298527952,21,4,25.768946865065974,81.42777989530407,0,1,13.56266160073134,0,0.2855361150896957
2025-01-01 02:45:00,0.9488855372533332,6,19,23.299698069519906,79.46464241598429,0,0,14.562864670542341,0,0.8542198760773332
2025-01-01 02:50:00,0.9656320330745594,13,7,15.20573715132006,55.38979158403728,0,0,69.74316172371925,0,0.7459424231521916
2025-01-01 02:55:00,0.8083973481164611,14,23,28.143900614116596,85.68942219366296,0,0,64.28065910861737,0,0.7958781436815228
2025-01-01 03:00:00,0.3046137691733707,6,11,23.41464623811668,87.6407508501253,0,0,78.27456742513867,0,0.3232296384213595
2025-01-01 03:05:00,0.09767211400638387,8,0,21.2088126196088,56.33712710150204,0,1,93.74811723991047,0,0.2683704798044687
2025-01-01 03:10:00,0.6842330265121569,47,24,12.219789384269621,57.72124743965274,0,0,69.1927363266592,1,0.8189631185585098
2025-01-01 03:15:00,0.4401524937396013,7,29,18.94111087612851,65.28170767109793,0,0,15.585153655144346,0,0.5981067456177209
2025-01-01 03:20:00,0.12203823484477883,49,20,19.207165424038525,87.05604062668368,0,0,24.344261676541066,0,0.2854267643913452
2025-01-01 03:25:00,0.4951769101112702,22,19,27.291272190453398,83.81597165711557,0,0,84.21937308731145,1,0.636623837077889
2025-01-01 03:30:00,0.034388521115218396,28,5,20.93296440375577,45.12839812917949,0,0,20.93060758342086,1,0.1740719647806529
2025-01-01 03:35:00,0.9093204020787821,17,21,17.608010979408192,59.63653716357081,0,0,7.252231695448142,1,0.9465242814551473
2025-01-01 03:40:00,0.2587799816000169,30,17,29.536006570213186,67.6685594874886,0,0,70.32800540422505,0,0.3511459871200119
2025-01-01 03:45:00,0.662522284353982,29,7,12.214411866526314,65.156623627577,0,1,40.2526355490142,0,0.7337655990477874
